DateKey,FullDate,Year,Quarter,Month,Day,DayOfWeek
20160501,2016-05-01,2016,2,5,1,Sunday
20160406,2016-04-06,2016,2,4,6,Wednesday
20161025,2016-10-25,2016,4,10,25,Tuesday
20160229,2016-02-29,2016,1,2,29,Monday
20170908,2017-09-08,2017,3,9,8,Friday
20160401,2016-04-01,2016,2,4,1,Friday
20160302,2016-03-02,2016,1,3,2,Wednesday
20160409,2016-04-09,2016,2,4,9,Saturday
20180201,2018-02-01,2018,1,2,1,Thursday
20160908,2016-09-08,2016,3,9,8,Thursday
20170816,2017-08-16,2017,3,8,16,Wednesday
20180203,2018-02-03,2018,1,2,3,Saturday
20170122,2017-01-22,2017,1,1,22,Sunday
20160218,2016-02-18,2016,1,2,18,Thursday
20170817,2017-08-17,2017,3,8,17,Thursday
20160309,2016-03-09,2016,1,3,9,Wednesday
20160225,2016-02-25,2016,1,2,25,Thursday
20161019,2016-10-19,2016,4,10,19,Wednesday
20160330,2016-03-30,2016,1,3,30,Wednesday
20161018,2016-10-18,2016,4,10,18,Tuesday
20160609,2016-06-09,2016,2,6,9,Thursday
20160228,2016-02-28,2016,1,2,28,Sunday
20160322,2016-03-22,2016,1,3,22,Tuesday
20171209,2017-12-09,2017,4,12,9,Saturday
20160603,2016-06-03,2016,2,6,3,Friday
20160602,2016-06-02,2016,2,6,2,Thursday
20160927,2016-09-27,2016,3,9,27,Tuesday
20160227,2016-02-27,2016,1,2,27,Saturday
20161013,2016-10-13,2016,4,10,13,Thursday
20160307,2016-03-07,2016,1,3,7,Monday
20170906,2017-09-06,2017,3,9,6,Wednesday
20170211,2017-02-11,2017,1,2,11,Saturday
20160303,2016-03-03,2016,1,3,3,Thursday
20180115,2018-01-15,2018,1,1,15,Monday
20170722,2017-07-22,2017,3,7,22,Saturday
20180811,2018-08-11,2018,3,8,11,Saturday
20171125,2017-11-25,2017,4,11,25,Saturday
20170421,2017-04-21,2017,2,4,21,Friday
20160626,2016-06-26,2016,2,6,26,Sunday
20170124,2017-01-24,2017,1,1,24,Tuesday
20180512,2018-05-12,2018,2,5,12,Saturday
20160801,2016-08-01,2016,3,8,1,Monday
20160321,2016-03-21,2016,1,3,21,Monday
20170128,2017-01-28,2017,1,1,28,Saturday
20160308,2016-03-08,2016,1,3,8,Tuesday
20180318,2018-03-18,2018,1,3,18,Sunday
20160310,2016-03-10,2016,1,3,10,Thursday
20180317,2018-03-17,2018,1,3,17,Saturday
20160731,2016-07-31,2016,3,7,31,Sunday
20161221,2016-12-21,2016,4,12,21,Wednesday
20170720,2017-07-20,2017,3,7,20,Thursday
20160929,2016-09-29,2016,3,9,29,Thursday
20170202,2017-02-02,2017,1,2,2,Thursday
20161108,2016-11-08,2016,4,11,8,Tuesday
20161105,2016-11-05,2016,4,11,5,Saturday
20160519,2016-05-19,2016,2,5,19,Thursday
20160405,2016-04-05,2016,2,4,5,Tuesday
20160802,2016-08-02,2016,3,8,2,Tuesday
20160718,2016-07-18,2016,3,7,18,Monday
20171118,2017-11-18,2017,4,11,18,Saturday
20170317,2017-03-17,2017,1,3,17,Friday
20180316,2018-03-16,2018,1,3,16,Friday
20180109,2018-01-09,2018,1,1,9,Tuesday
20170709,2017-07-09,2017,3,7,9,Sunday
20160904,2016-09-04,2016,3,9,4,Sunday
20160605,2016-06-05,2016,2,6,5,Sunday
20171215,2017-12-15,2017,4,12,15,Friday
20160812,2016-08-12,2016,3,8,12,Friday
20161026,2016-10-26,2016,4,10,26,Wednesday
20170101,2017-01-01,2017,1,1,1,Sunday
20160619,2016-06-19,2016,2,6,19,Sunday
20160413,2016-04-13,2016,2,4,13,Wednesday
20171117,2017-11-17,2017,4,11,17,Friday
20160712,2016-07-12,2016,3,7,12,Tuesday
20160729,2016-07-29,2016,3,7,29,Friday
20161030,2016-10-30,2016,4,10,30,Sunday
20161102,2016-11-02,2016,4,11,2,Wednesday
20170209,2017-02-09,2017,1,2,9,Thursday
20160621,2016-06-21,2016,2,6,21,Tuesday
20170111,2017-01-11,2017,1,1,11,Wednesday
20170504,2017-05-04,2017,2,5,4,Thursday
20170425,2017-04-25,2017,2,4,25,Tuesday
20180820,2018-08-20,2018,3,8,20,Monday
20170808,2017-08-08,2017,3,8,8,Tuesday
20170916,2017-09-16,2017,3,9,16,Saturday
20171212,2017-12-12,2017,4,12,12,Tuesday
20180819,2018-08-19,2018,3,8,19,Sunday
20171119,2017-11-19,2017,4,11,19,Sunday
20030527,2003-05-27,2003,2,5,27,Tuesday
20030528,2003-05-28,2003,2,5,28,Wednesday
20140809,2014-08-09,2014,3,8,9,Saturday
20141228,2014-12-28,2014,4,12,28,Sunday
20140622,2014-06-22,2014,2,6,22,Sunday
20130818,2013-08-18,2013,3,8,18,Sunday
20141217,2014-12-17,2014,4,12,17,Wednesday
20141130,2014-11-30,2014,4,11,30,Sunday
20150715,2015-07-15,2015,3,7,15,Wednesday
20141208,2014-12-08,2014,4,12,8,Monday
20160106,2016-01-06,2016,1,1,6,Wednesday
20140624,2014-06-24,2014,2,6,24,Tuesday
20141010,2014-10-10,2014,4,10,10,Friday
20150208,2015-02-08,2015,1,2,8,Sunday
20150411,2015-04-11,2015,2,4,11,Saturday
20141218,2014-12-18,2014,4,12,18,Thursday
20160710,2016-07-10,2016,3,7,10,Sunday
20141219,2014-12-19,2014,4,12,19,Friday
20150904,2015-09-04,2015,3,9,4,Friday
20150909,2015-09-09,2015,3,9,9,Wednesday
20150328,2015-03-28,2015,1,3,28,Saturday
20150117,2015-01-17,2015,1,1,17,Saturday
20141011,2014-10-11,2014,4,10,11,Saturday
20150816,2015-08-16,2015,3,8,16,Sunday
20170102,2017-01-02,2017,1,1,2,Monday
20100311,2010-03-11,2010,1,3,11,Thursday
20100316,2010-03-16,2010,1,3,16,Tuesday
20050202,2005-02-02,2005,1,2,2,Wednesday
20050131,2005-01-31,2005,1,1,31,Monday
20050218,2005-02-18,2005,1,2,18,Friday
20160325,2016-03-25,2016,1,3,25,Friday
20160326,2016-03-26,2016,1,3,26,Saturday
20180828,2018-08-28,2018,3,8,28,Tuesday
19960709,1996-07-09,1996,3,7,9,Tuesday
20000704,2000-07-04,2000,3,7,4,Tuesday
20000801,2000-08-01,2000,3,8,1,Tuesday
20090214,2009-02-14,2009,1,2,14,Saturday
20090514,2009-05-14,2009,2,5,14,Thursday
20090211,2009-02-11,2009,1,2,11,Wednesday
20090302,2009-03-02,2009,1,3,2,Monday
20090213,2009-02-13,2009,1,2,13,Friday
20090511,2009-05-11,2009,2,5,11,Monday
20100620,2010-06-20,2010,2,6,20,Sunday
20090512,2009-05-12,2009,2,5,12,Tuesday
20090601,2009-06-01,2009,2,6,1,Monday
20090427,2009-04-27,2009,2,4,27,Monday
20090228,2009-02-28,2009,1,2,28,Saturday
20090420,2009-04-20,2009,2,4,20,Monday
20090306,2009-03-06,2009,1,3,6,Friday
20090321,2009-03-21,2009,1,3,21,Saturday
20090305,2009-03-05,2009,1,3,5,Thursday
20090217,2009-02-17,2009,1,2,17,Tuesday
20090521,2009-05-21,2009,2,5,21,Thursday
20110613,2011-06-13,2011,2,6,13,Monday
20130228,2013-02-28,2013,1,2,28,Thursday
20110612,2011-06-12,2011,2,6,12,Sunday
20110716,2011-07-16,2011,3,7,16,Saturday
20110614,2011-06-14,2011,2,6,14,Tuesday
20140720,2014-07-20,2014,3,7,20,Sunday
20110905,2011-09-05,2011,3,9,5,Monday
20110728,2011-07-28,2011,3,7,28,Thursday
20110626,2011-06-26,2011,2,6,26,Sunday
20110615,2011-06-15,2011,2,6,15,Wednesday
20110702,2011-07-02,2011,3,7,2,Saturday
20170718,2017-07-18,2017,3,7,18,Tuesday
19961213,1996-12-13,1996,4,12,13,Friday
19970102,1997-01-02,1997,1,1,2,Thursday
19970223,1997-02-23,1997,1,2,23,Sunday
19991011,1999-10-11,1999,4,10,11,Monday
19991012,1999-10-12,1999,4,10,12,Tuesday
19991020,1999-10-20,1999,4,10,20,Wednesday
20061028,2006-10-28,2006,4,10,28,Saturday
20061119,2006-11-19,2006,4,11,19,Sunday
20061218,2006-12-18,2006,4,12,18,Monday
20061030,2006-10-30,2006,4,10,30,Monday
20070114,2007-01-14,2007,1,1,14,Sunday
19960501,1996-05-01,1996,2,5,1,Wednesday
20041118,2004-11-18,2004,4,11,18,Thursday
19961013,1996-10-13,1996,4,10,13,Sunday
19961021,1996-10-21,1996,4,10,21,Monday
19960829,1996-08-29,1996,3,8,29,Thursday
20001121,2000-11-21,2000,4,11,21,Tuesday
19960514,1996-05-14,1996,2,5,14,Tuesday
20010727,2001-07-27,2001,3,7,27,Friday
19961126,1996-11-26,1996,4,11,26,Tuesday
19970718,1997-07-18,1997,3,7,18,Friday
19980522,1998-05-22,1998,2,5,22,Friday
20000221,2000-02-21,2000,1,2,21,Monday
20000529,2000-05-29,2000,2,5,29,Monday
20050718,2005-07-18,2005,3,7,18,Monday
20040731,2004-07-31,2004,3,7,31,Saturday
20000228,2000-02-28,2000,1,2,28,Monday
20020507,2002-05-07,2002,2,5,7,Tuesday
20000216,2000-02-16,2000,1,2,16,Wednesday
20011204,2001-12-04,2001,4,12,4,Tuesday
20011210,2001-12-10,2001,4,12,10,Monday
20021011,2002-10-11,2002,4,10,11,Friday
20011226,2001-12-26,2001,4,12,26,Wednesday
20020514,2002-05-14,2002,2,5,14,Tuesday
20000322,2000-03-22,2000,1,3,22,Wednesday
20030630,2003-06-30,2003,2,6,30,Monday
20020605,2002-06-05,2002,2,6,5,Wednesday
20021022,2002-10-22,2002,4,10,22,Tuesday
20071025,2007-10-25,2007,4,10,25,Thursday
19960614,1996-06-14,1996,2,6,14,Friday
20170531,2017-05-31,2017,2,5,31,Wednesday
20050919,2005-09-19,2005,3,9,19,Monday
20171225,2017-12-25,2017,4,12,25,Monday
20180414,2018-04-14,2018,2,4,14,Saturday
20180813,2018-08-13,2018,3,8,13,Monday
20180104,2018-01-04,2018,1,1,4,Thursday
20180220,2018-02-20,2018,1,2,20,Tuesday
20180528,2018-05-28,2018,2,5,28,Monday
20180514,2018-05-14,2018,2,5,14,Monday
20180523,2018-05-23,2018,2,5,23,Wednesday
20180526,2018-05-26,2018,2,5,26,Saturday
20180531,2018-05-31,2018,2,5,31,Thursday
20180913,2018-09-13,2018,3,9,13,Thursday
20180207,2018-02-07,2018,1,2,7,Wednesday
20180406,2018-04-06,2018,2,4,6,Friday
20180129,2018-01-29,2018,1,1,29,Monday
20180803,2018-08-03,2018,3,8,3,Friday
20180102,2018-01-02,2018,1,1,2,Tuesday
20180101,2018-01-01,2018,1,1,1,Monday
20180209,2018-02-09,2018,1,2,9,Friday
20180503,2018-05-03,2018,2,5,3,Thursday
20180330,2018-03-30,2018,1,3,30,Friday
20180131,2018-01-31,2018,1,1,31,Wednesday
20171228,2017-12-28,2017,4,12,28,Thursday
20180415,2018-04-15,2018,2,4,15,Sunday
20180621,2018-06-21,2018,2,6,21,Thursday
20180206,2018-02-06,2018,1,2,6,Tuesday
20170721,2017-07-21,2017,3,7,21,Friday
20180118,2018-01-18,2018,1,1,18,Thursday
20180110,2018-01-10,2018,1,1,10,Wednesday
20180425,2018-04-25,2018,2,4,25,Wednesday
20090102,2009-01-02,2009,1,1,2,Friday
20090104,2009-01-04,2009,1,1,4,Sunday
20160709,2016-07-09,2016,3,7,9,Saturday
20090322,2009-03-22,2009,1,3,22,Sunday
19960423,1996-04-23,1996,2,4,23,Tuesday
19960813,1996-08-13,1996,3,8,13,Tuesday
20110807,2011-08-07,2011,3,8,7,Sunday
19960626,1996-06-26,1996,2,6,26,Wednesday
20000809,2000-08-09,2000,3,8,9,Wednesday
20001022,2000-10-22,2000,4,10,22,Sunday
20000923,2000-09-23,2000,3,9,23,Saturday
20000924,2000-09-24,2000,3,9,24,Sunday
20001021,2000-10-21,2000,4,10,21,Saturday
19961111,1996-11-11,1996,4,11,11,Monday
20000321,2000-03-21,2000,1,3,21,Tuesday
20140227,2014-02-27,2014,1,2,27,Thursday
20060420,2006-04-20,2006,2,4,20,Thursday
20180612,2018-06-12,2018,2,6,12,Tuesday
20180327,2018-03-27,2018,1,3,27,Tuesday
20180319,2018-03-19,2018,1,3,19,Monday
20180323,2018-03-23,2018,1,3,23,Friday
20180506,2018-05-06,2018,2,5,6,Sunday
20180910,2018-09-10,2018,3,9,10,Monday
20180407,2018-04-07,2018,2,4,7,Saturday
20180412,2018-04-12,2018,2,4,12,Thursday
20180324,2018-03-24,2018,1,3,24,Saturday
20180430,2018-04-30,2018,2,4,30,Monday
20180403,2018-04-03,2018,2,4,3,Tuesday
20180629,2018-06-29,2018,2,6,29,Friday
20180505,2018-05-05,2018,2,5,5,Saturday
20180513,2018-05-13,2018,2,5,13,Sunday
20180727,2018-07-27,2018,3,7,27,Friday
20180509,2018-05-09,2018,2,5,9,Wednesday
20180517,2018-05-17,2018,2,5,17,Thursday
20180329,2018-03-29,2018,1,3,29,Thursday
20180331,2018-03-31,2018,1,3,31,Saturday
20180613,2018-06-13,2018,2,6,13,Wednesday
20180501,2018-05-01,2018,2,5,1,Tuesday
20180522,2018-05-22,2018,2,5,22,Tuesday
20180525,2018-05-25,2018,2,5,25,Friday
20180623,2018-06-23,2018,2,6,23,Saturday
20180326,2018-03-26,2018,1,3,26,Monday
20180511,2018-05-11,2018,2,5,11,Friday
20180328,2018-03-28,2018,1,3,28,Wednesday
20180419,2018-04-19,2018,2,4,19,Thursday
20180614,2018-06-14,2018,2,6,14,Thursday
20180428,2018-04-28,2018,2,4,28,Saturday
20180701,2018-07-01,2018,3,7,1,Sunday
20180604,2018-06-04,2018,2,6,4,Monday
20180508,2018-05-08,2018,2,5,8,Tuesday
20180603,2018-06-03,2018,2,6,3,Sunday
20180510,2018-05-10,2018,2,5,10,Thursday
20150925,2015-09-25,2015,3,9,25,Friday
20150927,2015-09-27,2015,3,9,27,Sunday
20151001,2015-10-01,2015,4,10,1,Thursday
20150926,2015-09-26,2015,3,9,26,Saturday
20150928,2015-09-28,2015,3,9,28,Monday
20061022,2006-10-22,2006,4,10,22,Sunday
20061023,2006-10-23,2006,4,10,23,Monday
20170514,2017-05-14,2017,2,5,14,Sunday
20050102,2005-01-02,2005,1,1,2,Sunday
20050411,2005-04-11,2005,2,4,11,Monday
20040822,2004-08-22,2004,3,8,22,Sunday
20041031,2004-10-31,2004,4,10,31,Sunday
20040829,2004-08-29,2004,3,8,29,Sunday
20041015,2004-10-15,2004,4,10,15,Friday
20050404,2005-04-04,2005,2,4,4,Monday
20070624,2007-06-24,2007,2,6,24,Sunday
20170728,2017-07-28,2017,3,7,28,Friday
20060917,2006-09-17,2006,3,9,17,Sunday
20081228,2008-12-28,2008,4,12,28,Sunday
20180729,2018-07-29,2018,3,7,29,Sunday
20100320,2010-03-20,2010,1,3,20,Saturday
20091224,2009-12-24,2009,4,12,24,Thursday
20110520,2011-05-20,2011,2,5,20,Friday
20090418,2009-04-18,2009,2,4,18,Saturday
20070604,2007-06-04,2007,2,6,4,Monday
20100417,2010-04-17,2010,2,4,17,Saturday
20100317,2010-03-17,2010,1,3,17,Wednesday
20100608,2010-06-08,2010,2,6,8,Tuesday
20091217,2009-12-17,2009,4,12,17,Thursday
20090912,2009-09-12,2009,3,9,12,Saturday
20090131,2009-01-31,2009,1,1,31,Saturday
20120324,2012-03-24,2012,1,3,24,Saturday
20121111,2012-11-11,2012,4,11,11,Sunday
20110511,2011-05-11,2011,2,5,11,Wednesday
20080421,2008-04-21,2008,2,4,21,Monday
20121211,2012-12-11,2012,4,12,11,Tuesday
20080814,2008-08-14,2008,3,8,14,Thursday
20111003,2011-10-03,2011,4,10,3,Monday
20100315,2010-03-15,2010,1,3,15,Monday
20110918,2011-09-18,2011,3,9,18,Sunday
20061217,2006-12-17,2006,4,12,17,Sunday
20090927,2009-09-27,2009,3,9,27,Sunday
20071224,2007-12-24,2007,4,12,24,Monday
20100227,2010-02-27,2010,1,2,27,Saturday
20130127,2013-01-27,2013,1,1,27,Sunday
20101228,2010-12-28,2010,4,12,28,Tuesday
20090215,2009-02-15,2009,1,2,15,Sunday
20130322,2013-03-22,2013,1,3,22,Friday
20120116,2012-01-16,2012,1,1,16,Monday
20071223,2007-12-23,2007,4,12,23,Sunday
20110509,2011-05-09,2011,2,5,9,Monday
20100908,2010-09-08,2010,3,9,8,Wednesday
20101210,2010-12-10,2010,4,12,10,Friday
20120827,2012-08-27,2012,3,8,27,Monday
20120509,2012-05-09,2012,2,5,9,Wednesday
20120624,2012-06-24,2012,2,6,24,Sunday
20101201,2010-12-01,2010,4,12,1,Wednesday
20100501,2010-05-01,2010,2,5,1,Saturday
20100514,2010-05-14,2010,2,5,14,Friday
20110616,2011-06-16,2011,2,6,16,Thursday
20130101,2013-01-01,2013,1,1,1,Tuesday
20110502,2011-05-02,2011,2,5,2,Monday
20110531,2011-05-31,2011,2,5,31,Tuesday
20111031,2011-10-31,2011,4,10,31,Monday
20111001,2011-10-01,2011,4,10,1,Saturday
20110710,2011-07-10,2011,3,7,10,Sunday
20110817,2011-08-17,2011,3,8,17,Wednesday
20120802,2012-08-02,2012,3,8,2,Thursday
20111122,2011-11-22,2011,4,11,22,Tuesday
20121026,2012-10-26,2012,4,10,26,Friday
20120713,2012-07-13,2012,3,7,13,Friday
20130221,2013-02-21,2013,1,2,21,Thursday
20130630,2013-06-30,2013,2,6,30,Sunday
20130704,2013-07-04,2013,3,7,4,Thursday
20180529,2018-05-29,2018,2,5,29,Tuesday
20020517,2002-05-17,2002,2,5,17,Friday
19970527,1997-05-27,1997,2,5,27,Tuesday
20080729,2008-07-29,2008,3,7,29,Tuesday
20160525,2016-05-25,2016,2,5,25,Wednesday
20160526,2016-05-26,2016,2,5,26,Thursday
20080406,2008-04-06,2008,2,4,6,Sunday
20060922,2006-09-22,2006,3,9,22,Friday
20060923,2006-09-23,2006,3,9,23,Saturday
20150810,2015-08-10,2015,3,8,10,Monday
20180824,2018-08-24,2018,3,8,24,Friday
20090910,2009-09-10,2009,3,9,10,Thursday
20001126,2000-11-26,2000,4,11,26,Sunday
20130824,2013-08-24,2013,3,8,24,Saturday
20130825,2013-08-25,2013,3,8,25,Sunday
19961014,1996-10-14,1996,4,10,14,Monday
20040513,2004-05-13,2004,2,5,13,Thursday
20040514,2004-05-14,2004,2,5,14,Friday
20040517,2004-05-17,2004,2,5,17,Monday
20040519,2004-05-19,2004,2,5,19,Wednesday
20120327,2012-03-27,2012,1,3,27,Tuesday
20120408,2012-04-08,2012,2,4,8,Sunday
20120407,2012-04-07,2012,2,4,7,Saturday
20120330,2012-03-30,2012,1,3,30,Friday
20120412,2012-04-12,2012,2,4,12,Thursday
20120331,2012-03-31,2012,1,3,31,Saturday
19970319,1997-03-19,1997,1,3,19,Wednesday
19970306,1997-03-06,1997,1,3,6,Thursday
19970407,1997-04-07,1997,2,4,7,Monday
19980309,1998-03-09,1998,1,3,9,Monday
20120804,2012-08-04,2012,3,8,4,Saturday
20120805,2012-08-05,2012,3,8,5,Sunday
20100408,2010-04-08,2010,2,4,8,Thursday
20110127,2011-01-27,2011,1,1,27,Thursday
20120310,2012-03-10,2012,1,3,10,Saturday
20180307,2018-03-07,2018,1,3,7,Wednesday
19970219,1997-02-19,1997,1,2,19,Wednesday
20050405,2005-04-05,2005,2,4,5,Tuesday
20110113,2011-01-13,2011,1,1,13,Thursday
19991116,1999-11-16,1999,4,11,16,Tuesday
19991118,1999-11-18,1999,4,11,18,Thursday
19960922,1996-09-22,1996,3,9,22,Sunday
20030123,2003-01-23,2003,1,1,23,Thursday
20050110,2005-01-10,2005,1,1,10,Monday
20030208,2003-02-08,2003,1,2,8,Saturday
20031219,2003-12-19,2003,4,12,19,Friday
20030323,2003-03-23,2003,1,3,23,Sunday
20031123,2003-11-23,2003,4,11,23,Sunday
20030517,2003-05-17,2003,2,5,17,Saturday
20030125,2003-01-25,2003,1,1,25,Saturday
20030312,2003-03-12,2003,1,3,12,Wednesday
20030124,2003-01-24,2003,1,1,24,Friday
20180724,2018-07-24,2018,3,7,24,Tuesday
19960418,1996-04-18,1996,2,4,18,Thursday
20041111,2004-11-11,2004,4,11,11,Thursday
20041112,2004-11-12,2004,4,11,12,Friday
20000908,2000-09-08,2000,3,9,8,Friday
19960821,1996-08-21,1996,3,8,21,Wednesday
19960627,1996-06-27,1996,2,6,27,Thursday
20150518,2015-05-18,2015,2,5,18,Monday
20151224,2015-12-24,2015,4,12,24,Thursday
20150520,2015-05-20,2015,2,5,20,Wednesday
20150828,2015-08-28,2015,3,8,28,Friday
20151128,2015-11-28,2015,4,11,28,Saturday
20150831,2015-08-31,2015,3,8,31,Monday
20050429,2005-04-29,2005,2,4,29,Friday
20030325,2003-03-25,2003,1,3,25,Tuesday
20030331,2003-03-31,2003,1,3,31,Monday
20030519,2003-05-19,2003,2,5,19,Monday
20030327,2003-03-27,2003,1,3,27,Thursday
20040723,2004-07-23,2004,3,7,23,Friday
20030330,2003-03-30,2003,1,3,30,Sunday
20050311,2005-03-11,2005,1,3,11,Friday
20060103,2006-01-03,2006,1,1,3,Tuesday
20030614,2003-06-14,2003,2,6,14,Saturday
20060428,2006-04-28,2006,2,4,28,Friday
20090326,2009-03-26,2009,1,3,26,Thursday
20041023,2004-10-23,2004,4,10,23,Saturday
20050409,2005-04-09,2005,2,4,9,Saturday
20101218,2010-12-18,2010,4,12,18,Saturday
20030401,2003-04-01,2003,2,4,1,Tuesday
20101231,2010-12-31,2010,4,12,31,Friday
20110107,2011-01-07,2011,1,1,7,Friday
20030402,2003-04-02,2003,2,4,2,Wednesday
20091101,2009-11-01,2009,4,11,1,Sunday
20030621,2003-06-21,2003,2,6,21,Saturday
20061024,2006-10-24,2006,4,10,24,Tuesday
20030411,2003-04-11,2003,2,4,11,Friday
20030425,2003-04-25,2003,2,4,25,Friday
20040322,2004-03-22,2004,1,3,22,Monday
20121226,2012-12-26,2012,4,12,26,Wednesday
20061207,2006-12-07,2006,4,12,7,Thursday
20050506,2005-05-06,2005,2,5,6,Friday
20041122,2004-11-22,2004,4,11,22,Monday
20040229,2004-02-29,2004,1,2,29,Sunday
20050803,2005-08-03,2005,3,8,3,Wednesday
20030903,2003-09-03,2003,3,9,3,Wednesday
20120817,2012-08-17,2012,3,8,17,Friday
20031007,2003-10-07,2003,4,10,7,Tuesday
20130822,2013-08-22,2013,3,8,22,Thursday
20111229,2011-12-29,2011,4,12,29,Thursday
20030820,2003-08-20,2003,3,8,20,Wednesday
20110326,2011-03-26,2011,1,3,26,Saturday
20040916,2004-09-16,2004,3,9,16,Thursday
20040423,2004-04-23,2004,2,4,23,Friday
20141117,2014-11-17,2014,4,11,17,Monday
20051013,2005-10-13,2005,4,10,13,Thursday
20031218,2003-12-18,2003,4,12,18,Thursday
20030417,2003-04-17,2003,2,4,17,Thursday
20040620,2004-06-20,2004,2,6,20,Sunday
20130613,2013-06-13,2013,2,6,13,Thursday
20070906,2007-09-06,2007,3,9,6,Thursday
20110302,2011-03-02,2011,1,3,2,Wednesday
20040216,2004-02-16,2004,1,2,16,Monday
20031115,2003-11-15,2003,4,11,15,Saturday
20030809,2003-08-09,2003,3,8,9,Saturday
20121215,2012-12-15,2012,4,12,15,Saturday
20110104,2011-01-04,2011,1,1,4,Tuesday
20040124,2004-01-24,2004,1,1,24,Saturday
20090707,2009-07-07,2009,3,7,7,Tuesday
20080112,2008-01-12,2008,1,1,12,Saturday
20120515,2012-05-15,2012,2,5,15,Tuesday
20041006,2004-10-06,2004,4,10,6,Wednesday
20080314,2008-03-14,2008,1,3,14,Friday
20051105,2005-11-05,2005,4,11,5,Saturday
20090329,2009-03-29,2009,1,3,29,Sunday
20090105,2009-01-05,2009,1,1,5,Monday
20130107,2013-01-07,2013,1,1,7,Monday
20051029,2005-10-29,2005,4,10,29,Saturday
20080828,2008-08-28,2008,3,8,28,Thursday
20061212,2006-12-12,2006,4,12,12,Tuesday
20110102,2011-01-02,2011,1,1,2,Sunday
20120107,2012-01-07,2012,1,1,7,Saturday
20110109,2011-01-09,2011,1,1,9,Sunday
20071029,2007-10-29,2007,4,10,29,Monday
